eu_sdg,table,table_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU_V,European Union (aggregate changing according to the context),2000,0.0896,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU_V,European Union (aggregate changing according to the context),2001,0.0922,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU_V,European Union (aggregate changing according to the context),2002,0.0899,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU_V,European Union (aggregate changing according to the context),2003,0.0937,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU_V,European Union (aggregate changing according to the context),2004,0.083,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU_V,European Union (aggregate changing according to the context),2005,0.0751,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU_V,European Union (aggregate changing according to the context),2006,0.0895,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU_V,European Union (aggregate changing according to the context),2007,0.0924,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU_V,European Union (aggregate changing according to the context),2008,0.0802,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU_V,European Union (aggregate changing according to the context),2009,0.0775,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU_V,European Union (aggregate changing according to the context),2010,0.0731,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU_V,European Union (aggregate changing according to the context),2011,0.0574,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU_V,European Union (aggregate changing according to the context),2012,0.0639,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU_V,European Union (aggregate changing according to the context),2013,0.06,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU_V,European Union (aggregate changing according to the context),2014,0.0605,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU_V,European Union (aggregate changing according to the context),2015,0.0633,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU_V,European Union (aggregate changing according to the context),2016,0.0606,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU_V,European Union (aggregate changing according to the context),2017,0.066,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU_V,European Union (aggregate changing according to the context),2018,0.0656,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU_V,European Union (aggregate changing according to the context),2019,0.0699,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU_V,European Union (aggregate changing according to the context),2020,0.0802,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU_V,European Union (aggregate changing according to the context),2021,0.0738,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU27_2020,European Union - 27 countries (from 2020),2000,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU27_2020,European Union - 27 countries (from 2020),2001,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU27_2020,European Union - 27 countries (from 2020),2002,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU27_2020,European Union - 27 countries (from 2020),2003,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU27_2020,European Union - 27 countries (from 2020),2004,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU27_2020,European Union - 27 countries (from 2020),2005,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU27_2020,European Union - 27 countries (from 2020),2006,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU27_2020,European Union - 27 countries (from 2020),2007,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU27_2020,European Union - 27 countries (from 2020),2008,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU27_2020,European Union - 27 countries (from 2020),2009,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU27_2020,European Union - 27 countries (from 2020),2010,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU27_2020,European Union - 27 countries (from 2020),2011,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU27_2020,European Union - 27 countries (from 2020),2012,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU27_2020,European Union - 27 countries (from 2020),2013,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU27_2020,European Union - 27 countries (from 2020),2014,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU27_2020,European Union - 27 countries (from 2020),2015,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU27_2020,European Union - 27 countries (from 2020),2016,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU27_2020,European Union - 27 countries (from 2020),2017,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU27_2020,European Union - 27 countries (from 2020),2018,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU27_2020,European Union - 27 countries (from 2020),2019,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EU27_2020,European Union - 27 countries (from 2020),2020,,
